pessoa_id,nome,cpf,genero,data_nascimento,email,telefone,cidade,uf,cep,opt_in
PES-00109,Fernando Gomes Rocha,23040486500,M,1978-06-23,fernando.rocha355@hotmail.com,41966098714,Curitiba,PR,82400521,True
PES-00110,Rodrigo Ferreira Ferreira,24138296018,M,1987-08-27,rodrigo.ferreira178@uol.com.br,31984934374,Belo Horizonte,MG,34054076,False
PES-00111,Sônia Peixoto Martins Moreira,75475109222,F,1980-02-06,sonia_mor978@yahoo.com.br,51960387863,Porto Alegre,RS,97773271,True
PES-00112,Priscila Souza,37593309835,F,1953-04-18,priscila.souza316@gmail.com,31983468746,Belo Horizonte,MG,35560911,True
PES-00113,Rafael Brandão,92217195611,M,1947-08-25,rafael.brandao152@hotmail.com,41964187966,Curitiba,PR,86141050,False
PES-00114,Wagner Pereira,73184091821,M,1986-02-05,wagnerpereira899@bol.com.br,16999447001,Ribeirão Preto,SP,19102057,True
PES-00115,Larissa Dias,23077371464,F,1993-06-29,larissa.dias667@outlook.com,62988302156,Goiânia,GO,77269596,True
PES-00116,César Nunes Brandão,09410541875,M,1981-06-02,cesar.brandao668@outlook.com,11989362724,São Paulo,SP,07182224,False
PES-00117,Fábio Silva Martins,74760005790,M,2002-01-27,fabio.martins10@gmail.com,41981337972,Curitiba,PR,85445784,True
PES-00118,Sérgio Dias,06431843924,M,1971-03-05,sergio_dia27@gmail.com,61993647610,Brasília,DF,79694462,False
PES-00119,Camila Mendes Ribeiro,29555657254,F,1982-03-17,camila_rib811@outlook.com,11988762529,São Paulo,SP,02228005,False
PES-00120,Vitória Ferreira Freitas Assunção,98454356886,F,1990-04-19,vitoria.assuncao734@gmail.com,81985707438,Recife,PE,56542463,False
PES-00121,Wagner Magalhães Cardoso Santos,73728128791,M,1980-02-23,wagner.santos768@hotmail.com,11988913324,São Paulo,SP,09947202,False
PES-00122,Joana Alves Martins,42418012344,F,1980-01-08,joana_mar216@uol.com.br,32977172751,Juiz de Fora,MG,37983770,False
PES-00123,Fábio Costa Melo,32452308773,M,1996-11-27,fabio.melo153@yahoo.com.br,16969477721,Ribeirão Preto,SP,16522019,False
PES-00124,Leonardo Nascimento Lima,87280302734,M,1995-12-21,leonardo.lima576@outlook.com,71985218869,Salvador,BA,41755473,True
PES-00125,Isabela Santos,71416719431,F,1969-12-11,isabela.santos891@bol.com.br,11991397040,São Paulo,SP,05247826,False
PES-00126,Fábio Freitas,15965854986,M,1984-01-06,fabio_fre320@outlook.com,51983165753,Porto Alegre,RS,94393679,True
PES-00127,César Barbosa Gomes,17336541356,M,1987-02-10,cesargomes93@yahoo.com.br,11988677494,São Paulo,SP,06791519,False
PES-00128,Gustavo Nascimento Mendes,36254850010,M,1980-12-18,gustavomendes633@hotmail.com,21992467199,Rio de Janeiro,RJ,28065403,False
PES-00129,Lúcia Ferreira,96688559900,F,1967-07-24,luciaferreira670@bol.com.br,51968625478,Porto Alegre,RS,93963867,False
PES-00130,Hélio Santos,13936494088,M,1984-06-18,helio.santos628@gmail.com,32977175841,Juiz de Fora,MG,32737145,True
PES-00131,Isabela Rodrigues Pereira,22751598943,F,1958-11-11,isabela_per323@outlook.com,11973302276,São Paulo,SP,04472925,True
PES-00132,Gabriela Silva Andrade Silva,65178477740,F,2002-01-28,gabriela_sil179@outlook.com,11984371775,Guarulhos,SP,06107425,True
PES-00133,Luís Ferreira Mendes Peixoto,58491029656,M,1982-08-02,luispeixoto402@yahoo.com.br,71967671627,Salvador,BA,47862602,False
PES-00134,Leonardo Marques Assunção,43099479489,M,1962-10-17,leonardo.assuncao703@outlook.com,11998425573,São Paulo,SP,03226764,True
PES-00135,Aline Melo Dias Santos,51866724169,F,1989-02-04,alinesantos204@hotmail.com,11975259978,São Paulo,SP,07486945,True
PES-00136,Helena Nunes Rocha,50125910622,F,1999-12-20,helena_roc29@hotmail.com,16988514330,Ribeirão Preto,SP,15030215,True
PES-00137,Raquel Freitas Conceição,71643240692,F,1997-07-21,raquel_con540@bol.com.br,21995089865,Niterói,RJ,26251472,False
PES-00138,Leonardo Brandão Mendes,55590417180,M,1994-03-04,leonardomendes704@outlook.com,11963042353,São Paulo,SP,05109287,False
PES-00139,Antônio Lima,22135726400,M,1954-02-08,antonio.lima445@yahoo.com.br,41970931693,Curitiba,PR,88593399,False
PES-00140,Hélio Costa Marques,90749690623,M,1987-08-25,helio_mar543@outlook.com,51993775221,Porto Alegre,RS,94039822,True
PES-00141,Fernanda Araújo,29703010326,F,1965-04-20,fernanda_ara749@hotmail.com,51979532783,Porto Alegre,RS,94297067,True
PES-00142,Sônia Costa Andrade,13348925126,F,1976-05-03,sonia_and908@outlook.com,11997817124,Guarulhos,SP,08858605,True
PES-00143,Henrique Magalhães Marques,16662081400,M,1974-08-15,henrique.marques228@outlook.com,41984384227,Curitiba,PR,84685177,True
PES-00144,Eduardo Magalhães Costa Mendes,01551930587,M,1978-02-20,eduardomendes364@hotmail.com,11975823436,São Paulo,SP,07416415,False
PES-00145,Marcelo Ribeiro Silva Carvalho,08630456345,M,1992-02-11,marcelo.carvalho380@hotmail.com,31975776606,Belo Horizonte,MG,38499760,True
PES-00146,Otávio Carvalho Dias,75564909208,M,1976-01-07,otavio_dia128@outlook.com,21960968033,Niterói,RJ,24553533,True
PES-00147,Beatriz Mendes Costa Moreira,34590220601,F,1996-09-26,beatriz_mor622@outlook.com,48979772636,Florianópolis,SC,83769393,False
PES-00148,Camila Ribeiro,68007866914,F,1968-07-27,camila.ribeiro35@uol.com.br,31965341674,Belo Horizonte,MG,35917457,True
PES-00149,Patrícia Martins Souza Nunes,33478018145,F,1991-12-26,patricia_nun562@outlook.com,19987762288,Campinas,SP,18425669,True
PES-00150,Débora Peixoto Mendes,93515267476,F,2002-01-06,deboramendes66@bol.com.br,31974767099,Belo Horizonte,MG,39380144,False
PES-00151,Larissa Araújo Pereira,05562149516,F,1971-03-20,larissa.pereira677@uol.com.br,11963954278,São Paulo,SP,03386386,False
PES-00152,Débora Magalhães,31875904700,F,1996-06-16,debora.magalhaes47@hotmail.com,19994595552,Campinas,SP,17103224,False
PES-00153,Camila Machado Moreira,92696012938,F,1990-08-16,camila.moreira136@gmail.com,11971836132,Guarulhos,SP,01092385,True
PES-00154,Gustavo Melo Andrade Alves,17484912450,M,1987-06-11,gustavo_alv980@bol.com.br,51992796357,Porto Alegre,RS,97816113,False
PES-00155,Márcio Machado Ferreira,08912954105,M,1986-04-21,marcioferreira212@outlook.com,11983964815,Guarulhos,SP,01794694,True
PES-00156,Débora Mendes,77039807815,F,1984-04-26,debora.mendes565@yahoo.com.br,19964787055,Campinas,SP,14871893,True
PES-00157,Renata Nascimento Marques Nascimento,49745205397,F,1966-04-06,renatanascimento445@uol.com.br,11963879748,São Paulo,SP,02913139,True
PES-00158,Vitória Machado Ferreira,04293564128,F,2004-12-01,vitoria_fer77@hotmail.com,21996347814,Rio de Janeiro,RJ,21374407,True
PES-00159,Simone Brandão,92070287351,F,1996-11-29,simone_bra434@gmail.com,11989288752,São Paulo,SP,09694253,True
PES-00160,Henrique Melo Souza,05504316839,M,1939-10-19,henrique.souza371@yahoo.com.br,31962169238,Belo Horizonte,MG,32531863,False
PES-00161,Henrique Nascimento,14400096351,M,1966-04-28,henriquenascimento181@outlook.com,11978558947,São Paulo,SP,03191793,True
PES-00162,Eduardo Alves Barbosa,74389026259,M,1981-07-30,eduardobarbosa330@gmail.com,11995271048,Guarulhos,SP,02953579,False
PES-00163,Vinícius Pereira,81347586067,M,1992-05-16,vinicius.pereira971@hotmail.com,11987272671,São Paulo,SP,09756154,False
PES-00164,Vinícius Martins Ribeiro,33864781663,M,1968-08-03,viniciusribeiro242@uol.com.br,48969108888,Florianópolis,SC,84612568,False
PES-00165,Natália Melo Santos,38310748604,F,1970-11-13,natalia.santos382@yahoo.com.br,61986598976,Brasília,DF,71102500,True
PES-00166,Letícia Alves,79546697850,F,1977-02-10,leticia_alv286@bol.com.br,31986542451,Belo Horizonte,MG,33636316,False
PES-00167,Mateus Conceição Martins,09654649381,M,1975-11-04,mateus.martins255@bol.com.br,11995702850,São Paulo,SP,06147854,True
PES-00168,Thiago Freitas Alves,40900433957,M,1960-11-12,thiagoalves834@bol.com.br,81988469262,Recife,PE,54697328,True
PES-00169,Fernando Gomes Carvalho,05223875788,M,1997-05-11,fernando.carvalho202@gmail.com,11968954725,São Paulo,SP,09791148,True
PES-00170,Márcio Souza Oliveira,14532100402,M,1962-11-17,marcio_oli728@outlook.com,71972413445,Salvador,BA,47668480,True
PES-00171,Otávio Mendes,29351613003,M,1956-12-03,otavio.mendes312@hotmail.com,41967922020,Curitiba,PR,88123274,False
PES-00172,Luís Machado Pereira Santos,81079227601,M,1979-06-28,luis.santos623@bol.com.br,21967818850,Rio de Janeiro,RJ,22961641,False
PES-00173,Simone Moreira Marques,83880359911,F,1989-04-19,simone_mar731@bol.com.br,21993589907,Rio de Janeiro,RJ,26670752,True
PES-00174,Fernanda Melo Marques,81595904077,F,1981-01-15,fernandamarques862@bol.com.br,19967261448,Campinas,SP,19517791,False
PES-00175,Sérgio Silva Magalhães,63281382290,M,1969-04-18,sergio.magalhaes644@yahoo.com.br,71981423325,Salvador,BA,48917079,False
PES-00176,Bruno Carvalho,34949646532,M,1996-04-09,bruno_car531@uol.com.br,81968304561,Recife,PE,52514331,True
PES-00177,José Assunção,60333793226,M,1975-02-05,jose_ass354@uol.com.br,31960694383,Belo Horizonte,MG,37888617,True
PES-00178,Beatriz Peixoto Santos,60895251205,F,1980-08-21,beatriz_san137@outlook.com,19983881306,Campinas,SP,18306440,True
PES-00179,Márcia Magalhães Souza,82418980618,F,1994-07-22,marciasouza552@gmail.com,21983518795,Rio de Janeiro,RJ,29232971,True
PES-00180,Caio Conceição,71361242558,M,1963-08-14,caio.conceicao313@bol.com.br,61999102491,Brasília,DF,79537351,False
PES-00181,João Brandão,52450365508,M,1987-07-27,joao_bra938@yahoo.com.br,11964991623,São Paulo,SP,08514036,True
PES-00182,Lucas Ferreira,31257501305,M,1975-06-02,lucasferreira839@hotmail.com,21974163083,Rio de Janeiro,RJ,27573139,True
PES-00183,Priscila Moreira Costa,20162918852,F,1978-02-18,priscilacosta284@yahoo.com.br,11993409604,São Paulo,SP,01295583,False
PES-00184,Bruno Nascimento Ferreira,14333160561,M,1974-02-06,brunoferreira398@hotmail.com,11972563703,São Paulo,SP,04517110,True
PES-00185,Rodrigo Conceição Oliveira Ferreira,74292656851,M,2000-04-05,rodrigo.ferreira56@yahoo.com.br,11966257073,São Paulo,SP,01374643,True
PES-00186,Sônia Rocha Conceição,93566985546,F,1984-05-19,sonia_con159@outlook.com,21962132604,Rio de Janeiro,RJ,23551073,False
PES-00187,Vitória Rodrigues Gomes,33908713811,F,1983-10-09,vitoriagomes787@hotmail.com,61983826207,Brasília,DF,71258116,False
PES-00188,Raquel Ribeiro Brandão,61496341244,F,1973-09-12,raquelbrandao292@yahoo.com.br,11984023594,Guarulhos,SP,02717915,False
PES-00189,Larissa Machado Araújo,18163938277,F,1982-11-24,larissa.araujo418@gmail.com,19975035881,Campinas,SP,17771190,True
PES-00190,João Silva Nascimento,40696369516,M,1986-04-29,joaonascimento914@gmail.com,11964751638,São Paulo,SP,07581689,True
PES-00191,Natália Moreira Nunes,59949930502,F,1998-09-03,natalia.nunes569@outlook.com,11965248616,São Paulo,SP,05077610,False
PES-00192,Priscila Magalhães Melo,38277649479,F,1975-09-03,priscila.melo860@uol.com.br,31983049576,Belo Horizonte,MG,37102438,False
PES-00193,Ana Silva,47447795143,F,2001-11-03,ana.silva410@gmail.com,21972619582,Niterói,RJ,21871158,False
PES-00194,Lucas Machado,98646592600,M,1948-12-02,lucas_mac38@gmail.com,11967824197,São Paulo,SP,07695191,False
PES-00195,Mariana Melo Machado Nunes,48222137301,F,1995-08-24,mariananunes112@outlook.com,19994735004,Campinas,SP,15325752,True
PES-00196,Lúcia Nunes Ferreira,67503641444,F,1999-11-11,luciaferreira246@uol.com.br,16968813391,Ribeirão Preto,SP,14469882,False
PES-00197,Aline Magalhães Marques,61262213207,F,1997-01-05,alinemarques416@gmail.com,19981765849,Campinas,SP,16067952,False
PES-00198,Débora Marques Lima,01025131800,F,1991-04-30,deboralima985@outlook.com,11978725855,São Paulo,SP,08601032,False
PES-00199,Ana Pereira Ferreira,10264792661,F,1954-04-11,anaferreira11@hotmail.com,51994021142,Porto Alegre,RS,96546655,True
PES-00200,Rafael Moreira Andrade,83058965877,M,1980-05-26,rafaelandrade251@gmail.com,21978498103,Rio de Janeiro,RJ,26192709,True
PES-00201,Fernando Moreira,22856323987,M,1982-11-12,fernandomoreira752@hotmail.com,71985454216,Salvador,BA,42774160,False
PES-00202,Vinícius Souza,02917667222,M,1983-08-03,vinicius_sou55@hotmail.com,71985472842,Salvador,BA,44166385,True
PES-00203,Leonardo Peixoto,59921907751,M,1995-01-22,leonardopeixoto860@gmail.com,41974799060,Curitiba,PR,85144836,False
