COD_CLIENTE;NOME_CLIENTE;CPF;DT_NASC;SEXO;EMAIL;FONE;ENDERECO;BAIRRO;CIDADE;UF;CEP;ACEITA_MKT;DT_ATUALIZACAO
100078;SIMONE SILVA RODRIGUES;7317034487;15/11/1985;F;simone_rod887@outlook.com;(16) 96809-3292;RUA XV DE NOVEMBRO, Nº 2058 - APTO 31;BOA VISTA;Ribeirão Preto;SP;17430026;;15/09/2024
100079;GABRIELA MACHADO;493.748.690-04;14/04/1941;F;gabriela.machado319@outlook.com;11 976971640;RUA DAS FLORES, 2456;LIBERDADE;São Paulo;sp;08230-842;S;28/11/2020
100080;LETICIA ALVES MACHADO;50294048723;04/11/1978;F;leticia_mac379@hotmail.com;61 995208902;RUA BRASIL, Nº 2224;JARDIM DAS FLORES;Brasília;df;73167622;N;07/02/2024
100081;LARISSA GUIMARÃES;29947084183;15/01/1965;I;larissaguimaraes343@yahoo.com.br;(19) 99236-4731;RUA Dom Pedro II, N. 1874;VILA NOVA;Campinas;São Paulo;17781-953;S;26/07/2025
100082;CAMILA MAGALHAES MARQUES;978.684.432-78;07/08/2000;F;camila_mar390@bol.com.br;(61) 97691-6626;AVENIDA GETÚLIO VARGAS, N. 2281;SANTO ANTÔNIO;Brasília;DF;76357-973;S;05/05/2020
100083;GUSTAVO GOMES MARQUES;328.520.807-45;05/02/1989;M; GUSTAVO.MARQUES329@OUTLOOK.COM ;6266368907;RUA PRESIDENTE VARGAS, Nº 1277;VILA NOVA;goiânia ;go;71338-792;S;12/03/2025
100084;JOANA NASCIMENTO MOREIRA PEREIRA;53987219840;11/03/1970;F; JOANAPEREIRA638@BOL.COM.BR ;16974937430;RUA SETE DE SETEMBRO, 1584;SANTA CECÍLIA;ribeirão preto ;SP;11989769;S;15/07/2024
100085;GUSTAVO GOMES;531.600.269-57;26/01/1988;M;gustavogomes549@uol.com.br;11 66096313;Avenida das Palmeiras, S/N;SANTO ANTÔNIO;São Paulo;sp;09159-578;;09/01/2020
100086;RAFAEL SILVA SOUZA;603.534.445-37;02/12/1978;I;;19967612187;RUA SETE DE SETEMBRO, 313 - FUNDOS;VILA MARIANA;Campinas;;16829-368;S;27/07/2025
100087;FERNANDA  MACHADO ROCHA ;62605636631;05/12/2002;F;fernanda_roc965@gmail.com;31998273435;AVENIDA GETÚLIO VARGAS, N. 908;JARDIM AMÉRICA;Belo Horizonte;MG;38745823;N;20/04/2021
100088;RAQUEL  MOERIRA RODRIGUES ;942.400.287-44;06/10/2000;;;21 994362007;RUA DAS PALMEIRAS, 2056;BELA VISTA;Niterói;RJ;28173557;N;22/06/2023
100089;CAMILA FERREIRA;71836971931;05/07/1993;F;camila.ferreira500@uol.com.br;(11) 97286-5142;R. Getúlio Vargas, N. 118;SANTO ANTÔNIO;São Paulo;SP;1832647;S;24/10/2019
100090;CAMILA MOREIRA FERREIRA;91248784138;29/09/1996;F;camila.ferreira67@yahoo.com.br;;AVENIDA DA LIBERDADE, N. 1742 - APTO 31;VILA NOVA;Guarulhos;São Paulo;07161-661;S;08/06/2025
100091;BEATIRZ SILVA;537.260.573-15;30/06/1967;F; BEATRIZ.SILVA298@YAHOO.COM.BR ;11981241464;Rua Rio Branco, N. 2427;BELA VISTA;São Paulo;sp;04527987;S;23/06/2023
100092;LARISSA ALVES MARTINS;85975410916;03/07/1970;F;larissamartins915@uol.combr;21976164196;Travessa Dom Pedro II, 2136 - Apto 31;CENTRO;Rio de Janeiro;rj;24374122;S;26/12/2020
100093;TÂNIA MOREIRA GUIMARÃES;221.402.545-62;06/06/1992;F;tania.guimaraes951@bol.com.br;(48) 98379-7383;Rua dos Ipês, nº 2256 - Fundos;JARDIM DAS FLORES;Florianópolis;sc;81282247;S;09/09/2025
100094;EDUARDO  BARBOSA BARBOSA ;60751612790;19/01/1951;M;eduardo.barbosa475@gmail.com;1190369513;Rua Castro Alves, nº 337 - Bloco B Apto 104;CENTRO;São Paulo;sp;9476365;S;07/08/2024
100095;LUCAS  ARAUJO COSTA MENDES ;19681545826;18/05/1988;M;lucasmendes549@gmail.com;51974535544;AV MARECHAL DEODORO, N. 2730;JARDIM AMÉRICA;Porto Alegre;rs;98602779;N;28/02/2025
100096;SR. ANDRE MELO MARTINS;33709681189;11/02/1997;M;andremartins276@uol.com.br;(31) 97335-6934;RUA DOS ANDRADAS, 443 - APTO 31;CENTRO;Belo Horizonte;MG;31317-307;N;27/04/2025
100097;GABRIELA MENDES SILVA;37004981282;25/03/1983;F;gabriela_sil163@outlook.com;64561387;AL Tiradentes, nº 262;JARDIM DAS FLORES;Campinas;sp;11451-629;S;26/11/2025
100098;MARIANA  GOMES ARAÚJO ;958.586.826-18;30/06/1977;;mariana_ara53@bol.com.br;11964711317;RUA TIRADENTES, Nº S/N;BOA VISTA;Guarulhos;sp;5665743;;28/02/2019
100099;PAULO MAGALHAES COSTA;487.961.859-45;27/01/1972;M; PAULO.COSTA264@OUTLOOK.COM ;51 996757992;RUA das Flores, nº 2967;CENTRO;Porto Alegre;RS;95253256;S;01/08/2023
100100;DEBORA SOUZA MACHADO MELO;334.426.347-17;27/08/1992;F; DEBORA_MEL195@YAHOO.COM.BR ;19 980953276;Avenida dos Ipês, 2252 - Casa 2;VILA MARIANA;campinas ;SP;12695-704;S;11/06/2024
100101;JÚLIA ALVES ALVES BRANDÃO;80711335583;01/06/1957;F; JULIA.BRANDAO894@OUTLOOK.COM ;32 61189159;Avenida Tiradentes, nº 2009;VILA MARIANA;Juiz de Fora;MG;35988-303;S;05/03/2020
100102;LUIS O. RODRIGUES FREITAS;13913692622;21/05/1991;M; LUIS_FRE63593@OUTLOOK.COM ;(61) 98401-9537;AL. DOM PEDRO II, 617;PARQUE INDUSTRIAL;Brasília;df;72922-858;;23/01/2021
100103;CAMILA MARQUES CARVALHO;12969186292;08/02/1969;F;camila_car418@gmail.com;11 967032363;RUA São João, nº 2716;JARDIM DAS FLORES;São Paulo;SP;08112337;S;17/11/2019
100104;HENRIQUE COSTA;48036983095;15/01/1978;M;henrique.costa3@outlook.com;(21) 99816-1668;Alameda Sete de Setembro, S/N;SÃO JOSÉ;Rio de Janeiro;RJ;22918-661;N;25/05/2019
100105;GABRIELA GUIMARÃES FERREIRA;629.471.066-95;16/07/1978;F; GABRIELAFERREIRA189@BOL.COM.BR ;(31) 99931-4387;R. Dom Pedro II, 2187;SÃO JOSÉ;belo horizonte ;mg;37823777;S;07/01/2021
100106;LUCAS MOREIRA ROCHA;39165910109;27/05/1975;M;lucasrocha503@uol.com.br;(21) 96497-6343;Avenida dos Ipês, 1104;VILA MARIANA;Rio de Janeiro;Rio de Janeiro;25150-693;N;23/03/2024
100107;RAFAEL PEIXOTO RODRIGUES;25979379762;08/10/1978;M;rafaelrodrigues78137@gmail.com;51 991882110;AVENIDA SETE DE SETEMBRO, Nº 2842;SÃO JOSÉ;Porto Alegre;rs;96301232;S;28/06/2023
100108;MARIANA ROCHA;56021799178;22/04/1988;F;;(21) 96033-6346;R. XV DE NOVEMBRO, 2771;PARQUE INDUSTRIAL;RIO DE JANEIRO;rj;27501441;N;29/06/2021
100109;PAULO MENDES;15511303860;12/01/1985;M;paulo.mendes169@yahoo.com.br;(11) 99119-4392;Rua XV de Novembro, 443;VILA NOVA;Guarulhos;SP;06178-603;S;30/01/2022
100110;LUIZA FREITAS NUNES;78695604217;09/12/1977;F;luizanunes449@bol.com.br;21 976051468;RUA MARECHAL DEODORO, N. 2946 - APTO 31;JARDIM AMÉRICA;Niterói;rj;23923132;S;15/04/2025
100111;ISABELA RODRIGUES PEREIRA;227.515.989-43;11/11/1958;F;isabela_per323@outlook.com;11 973302276;AL Dom Pedro II, N. 687 - Apto 12;SANTO ANTÔNIO;São Paulo;SP;04472925;S;14/07/2024
100112;BRUNO RIBEIRO MAGALHÃES MENDES;515.914.937-65;03/07/1996;M;bruno.mendes45@outlook.com;(61) 9108-7108;ALAMEDA CASTRO ALVES, Nº 143;JARDIM DAS FLORES;Brasília;df;71124-796;S;18/06/2025
100113;RODRIGO COSTA;57632374830;20/10/2000;M;rodrigo.costa854@hotmail.com;11 971692059;ALAMEDA SANTOS DUMONT, 2280;BOA VISTA;Sampa;SP;08786038;N;08/08/2023
100114;BRUNO MAGALHAES CARDOSO;32520449477;24/10/1980;;bruno.cardoso110@uol.com.br;(41) 9479-7095;Rua da Liberdade, 1029;SANTA CECÍLIA;Curitiba - PR;;82444971;N;08/11/2023
100115;CECÍLIA RIBEIRO;806.360.620-58;03/05/1956;F;ceciliaribeiro227@uol.com.br;(41) 97128-7037;R PAULISTA, N. 1424;BOA VISTA;Curitiba;PR;83207-622;S;08/07/2023
100116;SERGIO SOUZA ALVES;554.013.782-54;14/01/1970;M;sergio.alves247@hotmail.com;81 67078393;Rua Castro Alves, 2379 - Casa 2;CENTRO;Recife;PE;58237-901;S;30/09/2022
100117;LUIZA MOREIRA;23222813361;03/03/1980;F;luiza_mor39@uol.com;71 79692305;R. XV de Novembro, nº 1706;JARDIM AMÉRICA;SALVADOR;ba;42202215;S;23/05/2019
100118;MÁRCIA FREITAS MACHADO;89874076089;03/08/1963;F;marcia_mac628@uol.com.br;16996781813;R. DAS PALMEIRAS, 1448 - FUNDOS;JARDIM DAS FLORES;Ribeirão Preto;SP;18080-750;S;02/12/2019
100119;ALINE CONCEICAO OLIVEIRA;059.619.882-52;25/09/1973;F;aline_oli32@gmail.com;(21) 9672-9141;RUA GETÚLIO VARGAS, N. 1735;JARDIM AMÉRICA;RIO DE JANEIRO;Rio de Janeiro;28466-378;S;20/09/2023
100120;DRA. SERGIO MACHADO SOUZA;49222642643;25/02/1970;M;sergiosouza528@gmail.com;68623240;TRAV. SANTOS DUMONT, N. 2289;BOA VISTA;Salvador;ba;43593-983;;21/11/2024
100121;DEBORA SOUZA;22583973592;19/03/1991;F;debora.souza52@uol.com.br;(62) 97479-9467;Rua das Flores, 2558;PARQUE INDUSTRIAL;Goiânia - GO;GO;74307165;N;26/05/2023
100122;LUCIA MOREIRA RODRIGUES;458.416.269-73;15/05/1986;;luciarodrigues972@outlook.com;(11) 97607-8058;R. DOS ANDRADAS, N. 1239 - APTO 31;SANTO ANTÔNIO;São Paulo;SP;03270-232;N;28/12/2023
100123;DR. CECILIA CARDOSO NASCIMENTO;67344955580;08/01/1973;F;cecilia_nas424@bol.com.br;(21) 99062-9617;Travessa Marechal Deodoro, nº 681;JARDIM DAS FLORES;Rio de Janeiro;Rio de Janeiro;24145-724;S;04/12/2019
